Polymer chemistry,106.0,119.0,126.0,123.0,125.0,125.0,127.0,135.0,151.0,152.0,Chemistry,Physical sciences and earth sciences
Theoretical chemistry,80.0,86.0,86.0,69.0,78.0,74.0,103.0,111.0,88.0,85.0,Chemistry,Physical sciences and earth sciences
"Chemistry, general",271.0,298.0,269.0,289.0,290.0,364.0,416.0,399.0,412.0,539.0,Chemistry,Physical sciences and earth sciences
"Chemistry, other",146.0,190.0,168.0,187.0,219.0,209.0,209.0,210.0,181.0,149.0,Chemistry,Physical sciences and earth sciences
Atmospheric science and meteorology,188.0,167.0,170.0,178.0,205.0,205.0,200.0,213.0,245.0,243.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
Atmospheric chemistry and climatology,49.0,30.0,39.0,43.0,50.0,49.0,42.0,36.0,41.0,55.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
Atmospheric physics and dynamics,59.0,43.0,45.0,40.0,51.0,43.0,51.0,59.0,58.0,30.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
Meteorology,23.0,14.0,15.0,29.0,18.0,18.0,32.0,30.0,20.0,15.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
"Atmospheric science and meteorology, general",40.0,55.0,47.0,47.0,61.0,77.0,55.0,62.0,108.0,107.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
"Atmospheric science and meteorology, other",17.0,25.0,24.0,19.0,25.0,18.0,20.0,26.0,18.0,36.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
Geological sciences,458.0,492.0,463.0,451.0,462.0,489.0,579.0,554.0,618.0,576.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
Geochemistry,78.0,78.0,74.0,70.0,68.0,73.0,85.0,94.0,81.0,69.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
Geology,141.0,140.0,128.0,124.0,112.0,126.0,130.0,135.0,127.0,124.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
"Geomorphology, glacial geology",12.0,22.0,28.0,23.0,16.0,32.0,25.0,27.0,24.0,22.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
Geophysics and seismology,116.0,102.0,94.0,95.0,95.0,113.0,151.0,123.0,138.0,124.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
Mineralogy and petrology,16.0,12.0,13.0,19.0,19.0,16.0,15.0,21.0,6.0,9.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
Paleontology,26.0,31.0,31.0,38.0,41.0,31.0,38.0,30.0,30.0,27.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
Stratigraphy and sedimentation,10.0,18.0,18.0,16.0,16.0,22.0,15.0,17.0,12.0,12.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
"Geological and earth sciences, general",25.0,31.0,36.0,26.0,34.0,33.0,60.0,55.0,155.0,138.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
"Geological and earth sciences, other",34.0,58.0,41.0,40.0,61.0,43.0,60.0,52.0,45.0,51.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
Ocean and marine sciences,219.0,218.0,229.0,223.0,274.0,295.0,320.0,290.0,364.0,346.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
Hydrology and water resources,45.0,38.0,47.0,48.0,52.0,51.0,63.0,76.0,130.0,97.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
Marine biology and biological oceanography,na,na,na,na,100.0,111.0,111.0,85.0,90.0,111.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
Marine sciences,75.0,79.0,79.0,69.0,36.0,26.0,41.0,42.0,54.0,53.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
"Oceanography, chemical and physical",83.0,81.0,87.0,90.0,70.0,92.0,89.0,67.0,79.0,70.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
"Ocean and marine sciences, other",16.0,20.0,16.0,16.0,16.0,15.0,16.0,20.0,11.0,15.0,"Geosciences, atmospheric sciences, and ocean sciences",Physical sciences and earth sciences
Astronomy and astrophysics,249.0,262.0,266.0,287.0,274.0,301.0,289.0,269.0,315.0,336.0,Physics and astronomy,Physical sciences and earth sciences
Astronomy,101.0,97.0,102.0,88.0,88.0,103.0,112.0,86.0,95.0,121.0,Physics and astronomy,Physical sciences and earth sciences
Astrophysics,148.0,165.0,155.0,185.0,175.0,184.0,171.0,174.0,211.0,211.0,Physics and astronomy,Physical sciences and earth sciences
"Astronomy and astrophysics, other",na,na,9.0,14.0,11.0,14.0,6.0,9.0,9.0,4.0,Physics and astronomy,Physical sciences and earth sciences
Physics,1586.0,1630.0,1563.0,1700.0,1788.0,1810.0,1850.0,1924.0,2006.0,1883.0,Physics and astronomy,Physical sciences and earth sciences
Acoustics,15.0,21.0,15.0,20.0,10.0,22.0,20.0,19.0,17.0,16.0,Physics and astronomy,Physical sciences and earth sciences
Applied physics,137.0,133.0,143.0,144.0,138.0,180.0,157.0,146.0,229.0,178.0,Physics and astronomy,Physical sciences and earth sciences
"Atomic, molecular, chemical physics",119.0,104.0,105.0,125.0,116.0,118.0,121.0,125.0,137.0,125.0,Physics and astronomy,Physical sciences and earth sciences
Biophysics (physics),119.0,104.0,123.0,132.0,130.0,133.0,131.0,127.0,138.0,134.0,Physics and astronomy,Physical sciences and earth sciences
"Condensed matter, low-temperature physics",397.0,401.0,379.0,383.0,390.0,413.0,389.0,439.0,350.0,343.0,Physics and astronomy,Physical sciences and earth sciences
Elementary particle physics,210.0,218.0,196.0,229.0,282.0,272.0,244.0,242.0,231.0,354.0,Physics and astronomy,Physical sciences and earth sciences
